Element,K,MP,BP,Z,X,r
Ac,29,1323,3573,89,1.1,1.95
Ag,88,1234.93,2435,47,1.93,1.6
Al,83,933.47,2792,13,1.61,1.25
As,40,1090,887,33,2.18,1.15
Au,137,1337.33,3129,79,2.54,1.35
B,211,2349,4200,5,2.04,0.85
Ba,9,1000,2143,56,0.89,2.15
Be,122,1560,2742,4,1.57,1.05
Bi,29,544.4,1837,83,2.02,1.6
Br,4,265.8,332,35,2.96,1.15
C,118,3800,4300,6,2.55,0.7
Ca,17,1115,1757,20,1,1.8
Cd,42,594.22,1040,48,1.69,1.55
Ce,37,1068,3633,58,1.12,1.85
Cl,2,171.6,239.11,17,3.16,1
Co,212,1768,3200,27,1.88,1.35
Cr,259,2180,2944,24,1.66,1.4
Cs,2,301.59,944,55,0.79,2.6
Cu,145,1357.77,3200,29,1.9,1.35
Dy,41,1680,2840,66,1.22,1.75
Er,44,1802,3141,68,1.24,1.75
Eu,13,1099,1800,63,1.2,1.85
F,2,53.53,85.03,9,3.98,0.5
Fe,182,1811,3134,26,1.83,1.4
Ga,50,302.91,2477,31,1.81,1.3
Gd,37,1585,3523,64,1.2,1.8
Ge,59,1211.4,3093,32,2.01,1.25
H,1,14.01,20.28,1,2.2,0.25
Hf,108,2506,4876,72,1.3,1.55
Hg,8,234.32,629.88,80,2,1.5
Ho,43,1734,2993,67,1.23,1.75
I,5,386.85,457.4,53,2.66,1.4
In,33,429.75,2345,49,1.78,1.55
Ir,346,2739,4701,77,2.2,1.35
K,4,336.53,1032,19,0.82,2.2
La,25,1193,3743,57,1.1,1.95
Li,14,453.69,1615,3,0.98,1.45
Lu,48,1925,3675,71,1.27,1.75
Mg,37,923,1363,12,1.31,1.5
Mn,264,1519,2334,25,1.55,1.4
Mo,262,2896,4912,42,2.16,1.45
N,1,63.05,77.36,7,3.04,0.65
Na,9,370.87,1156,11,0.93,1.8
Nb,174,2750,5017,41,1.6,1.45
Nd,34,1297,3373,60,1.14,1.85
Ni,198,1728,3186,28,1.91,1.35
Np,171,910,4273,93,1.36,1.75
O,6,54.8,90.2,8,3.44,0.6
Os,401,3306,5285,76,2.2,1.3
P,21,317.3,550,15,2.19,1
Pb,37,600.61,2022,82,2.33,1.8
Pd,160,1828.05,3236,46,2.2,1.4
Pm,39,1373,3273,61,1.13,1.85
Pr,32,1208,3563,59,1.13,1.85
Pt,247,2041.4,4098,78,2.28,1.35
Pu,203,912.5,3503,94,1.28,1.75
Rb,3,312.46,961,37,0.82,2.35
Re,365,3459,5869,75,1.9,1.35
Rh,253,2237,3968,45,2.28,1.35
Ru,308,2607,4423,44,2.2,1.3
S,1,388.36,717.87,16,2.58,1
Sb,36,903.78,1860,51,2.05,1.45
Sc,52,1814,3103,21,1.36,1.6
Se,9,494,958,34,2.55,1.15
Si,83,1687,3173,14,1.9,1.1
Sm,37,1345,2076,62,1.17,1.85
Sn,38,505.08,2875,50,1.96,1.45
Sr,12,1050,1655,38,0.95,2
Ta,194,3290,5731,73,1.5,1.45
Tb,40,1629,3503,65,1.1,1.75
Tc,300,2430,4538,43,1.9,1.35
Te,22,722.66,1261,52,2.1,1.4
Th,56,2115,5093,90,1.3,1.8
Ti,113,1941,3560,22,1.54,1.4
Tl,27,577,1746,81,1.62,1.9
Tm,46,1818,2223,69,1.25,1.75
U,147,1405.3,4200,92,1.38,1.75
V,179,2183,3680,23,1.63,1.35
W,304,3695,5828,74,2.36,1.35
Y,41,1799,3609,39,1.22,1.8
Yb,15,1097,1469,70,1.1,1.75
Zn,67,692.68,1180,30,1.65,1.35
Zr,94,2128,4682,40,1.33,1.55
