material_id,dielectric_poly_total
mp-555903,8.337935667
mp-752658,14.735277
mp-3439,17.19530467
mp-16135,21.59350733
mp-36447,9.507068333
mp-29175,25.72300333
mp-42022,22.30204367
mp-23205,6.717333333
mp-643263,7.409833667
mp-567601,18.093621
mp-755627,13.64324167
mp-570223,11.07319267
mp-6305,7.880499
mp-13538,11.35467867
mp-23648,5.342226333
mp-34337,7.575755333
mp-768863,10.13010333
mp-562100,10.25633333
mp-2815,9.757333335
mp-27300,13.484754
mp-1020633,6.46103
mp-1040443,31.14463933
mp-607953,10.86193033
mp-697146,5.583763667
mp-11265,39.37133333
mp-867192,40.660975
mp-753149,12.73620933
mp-1205671,46.92092
mp-2898,11.584981
mp-644271,5.160623
mp-1078709,30.58887967
mp-772232,7.198874333
mp-774639,6.947207
mp-35759,5.55477
mp-760729,8.14566
mp-758241,9.447646333
mp-9330,10.226604
mp-1207108,20.82491533
mp-6930,4.588685333
mp-1219343,21.332842
mp-10810,12.16031533
mp-24620,6.528781333
mp-22439,7.190458349
mp-684724,8.212231333
mp-752927,16.27003935
mp-4163,61.460849
mp-545544,93.31298567
mp-553281,58.56254879
mp-557881,3.25
mp-504967,4.864604333
mp-23843,5.532333333
mp-11924,8.337806
mp-558430,7.597855394
mp-1227238,23.52726367
mp-27442,14.135022
mp-557082,4.04536142
mp-505139,31.33656933
mp-1216623,32.286519
mp-7534,25.44816367
mp-1021504,62.70668
mp-1102430,27.373902
mp-3486,15.68270467
mp-759495,6.109311
mp-559798,5.203666667
mp-36526,14.536976
mp-24018,12.48297367
mp-756365,25.09380167
mp-7991,4.520333333
mp-707249,6.172536667
mp-31488,19.04893667
mp-758949,7.510600667
mp-1247,34.619
mp-18300,21.23266667
mp-696752,5.51944
mp-29362,5.458531667
mp-676799,37.89121667
mp-28453,21.04917733
mp-1960,7.265149396
mp-22566,49.79684067
mp-867249,65.724873
mp-7446,7.915564333
mp-15733,28.98567933
mp-13703,6.252851
mp-38725,8.458433
mp-672204,38.54842032
mp-689925,5.045738784
mp-22170,8.760171333
mp-571324,2.78
mp-1029442,9.732756667
mp-23329,45.47528567
mp-555731,11.59821367
mp-690785,7.505326
mp-30952,3.362
mp-13099,12.09292667
mp-27782,3.803873333
mp-1029337,26.490599
mp-1191189,14.659797
mp-961713,21.53733333
mp-1176418,8.744164333
mp-12422,6.525049667
mp-773137,14.74993933
mp-555321,24.57184
mp-1105094,19.98891533
mp-770632,7.600916333
mp-1027525,43.98103167
mp-13033,7.972329667
mvc-4323,7.333233686
mp-559931,6.406333332
mp-760502,12.40333333
mp-979264,22.109509
mp-35269,40.30317367
mp-23558,26.531189
mp-7670,10.00027533
mp-573763,10.17436067
mp-1224848,11.94313267
mp-11007,12.93479033
mp-29405,22.73912133
mp-5830,11.42792233
mp-17524,13.91166667
mp-774361,5.962960333
mp-758280,11.72846867
mp-8376,8.471129333
mp-7147,12.74068
mp-1029773,29.52617833
mp-1222080,8.244387333
mp-569501,21.48213433
mp-570172,10.78241127
mp-861938,11.20118467
mp-560688,15.73678567
mp-27630,5.327
mp-15492,45.190088
mp-18984,10.01357867
mp-6721,18.71439367
mp-4008,19.581736
mp-568662,8.080627
mp-764607,19.75830333
mp-766442,5.636456333
mp-8280,17.00183733
mp-19752,6.477727667
mp-626720,9.657869333
mp-2097,18.66462733
mp-18875,14.00519267
mp-24546,5.31
mp-13660,35.08782067
mp-755622,9.670037667
mvc-7040,3.193793
mp-1103379,9.418997667
mp-6013,23.99881767
mp-763609,11.64865467
mp-30927,11.90673033
mp-23736,10.67540933
mp-23973,8.122332333
mp-761219,10.66916633
mp-6126,7.750152333
mp-19799,11.59269033
mp-561410,9.007582333
mp-6325,32.06092232
mp-6799,15.21802833
mp-27828,8.653849
mp-1009085,10.63090733
mp-6138,9.577105667
mp-550998,22.70052167
mp-13277,29.72374967
mp-554138,21.77815333
mp-29829,10.80673533
mp-757889,6.399304667
mp-23651,5.731621333
mp-28020,4.874817333
mp-753256,12.740069
mp-28719,6.430311333
mp-558830,16.72428567
mp-753408,11.11994806
mvc-5693,39.78705929
mp-643902,6.157666667
mp-16452,23.71883033
mp-1189791,19.94321433
mp-772261,12.345732
mp-16031,18.378
mp-557761,17.01595867
mp-864638,27.79166667
mp-754648,6.411624
mp-3881,25.159322
mp-765230,9.746273
mp-867695,4.05606
mp-625075,11.133998
mp-1215558,10.624221
mp-8013,7.200463
mp-6088,24.85689133
mp-558200,4.244569
mp-8014,5.975298667
mp-568436,16.448408
mp-1030015,9.418514333
mp-761711,7.376848333
mp-1001034,14.302811
mp-707532,5.090202
mp-550959,8.632125667
mp-862947,37.15873333
mp-1541180,7.639303667
mp-30086,2.564
mp-23321,9.135813333
mp-28471,10.92798633
mp-626449,5.906666667
mp-23879,8.480348667
mp-561048,7.701112
mp-634410,44.59023044
mp-1080625,24.635555
mp-16577,8.070008
mp-2245,8.151321667
mp-28792,6.051376333
mp-23887,4.999333333
mp-567885,5.909969
mp-14730,9.944890667
mp-4598,16.35857767
